,Title,Published_date,Views,Likes,Comments,Month
0,Marvel’s Midnight Suns: Dia de Super Héroes!,2022-12-02,100169,10543,75,Dec
1,KARMALAND 5: Mundial en el Coliseo!,2022-12-01,369233,37478,385,Dec
2,Vegetta777 vuelve a BATTLEFIELD 2042 *GRATIS* 😱,2022-11-30,118163,14775,290,Nov
3,God of War Ragnarök: Rescatando al VERDADERO TYR! (Historia Completada),2022-11-29,275328,23275,147,Nov
4,KARMALAND 5: Mi refugio de gatos ¿FUTURO FARO?,2022-11-28,318872,29761,197,Nov
5,GOD OF WAR RAGNAROK: Kratos vs Thor (Modo Historia) #1,2022-11-27,150665,14261,363,Nov
6,KARMALAND 5: Asi fue MI BODA! (Resumen #59),2022-11-26,101633,10391,195,Nov
7,KARMALAND 5: CORAZON ROTO! 💔 #60,2022-11-25,467928,44812,432,Nov
8,KARMALAND 5: Cita con RUBIUS (de amigos) (Resumen #58),2022-11-24,107282,10815,252,Nov
9,God of War Ragnarök: FINAL!,2022-11-23,650670,49880,872,Nov
10,God of War Ragnarök: Cazando Dragones! (Misiones Ocultas) #11,2022-11-22,498938,34596,507,Nov
11,KARMALAND 5: La Reunion (SIN TITI) (Resumen #57),2022-11-21,164834,15837,356,Nov
12,God of War Ragnarök: El cariño de KRATOS y ATREUS! #10,2022-11-20,743155,46340,362,Nov
13,KARMALAND 5: Asi es TITI Falso!!! (Resumen #56),2022-11-19,165762,15203,204,Nov
14,God of War Ragnarök: NUEVA armadura de CRISOL! #9,2022-11-18,703649,50096,407,Nov
15,God of War Ragnarök: Aventuras con FREYA! #8,2022-11-17,815915,62524,432,Nov
16,KARMALAND: EL DIA DE MI BODA! 💍 #59,2022-11-16,585444,47275,830,Nov
17,God of War Ragnarök: Mi GRAN amigo THOR! #7,2022-11-15,815264,48222,448,Nov
18,God of War Ragnarök: La MEDUSA GIGANTE y Armadura Secreta! #6,2022-11-14,965548,55304,496,Nov
19,God of War Ragnarök: Gran amiga FREYA! #5,2022-11-13,1126230,65084,529,Nov
20,Vegetta777 en WORLD WAR 3 (Juego Gratis 100%),2022-11-12,459591,36298,756,Nov
21,KARMALAND 5: Mi castillo EN PELIGRO! ¿Titi falso? #58,2022-11-12,643729,38341,257,Nov
